sqrt(2) = [ 1; (2) ]
sqrt(53) = [ 7; (3, 1, 1, 3, 14) ]
sqrt(54) = [ 7; (2, 1, 6, 1, 2, 14) ]
sqrt(55) = [ 7; (2, 2, 2, 14) ]
sqrt(56) = [ 7; (2, 14) ]
sqrt(57) = [ 7; (1, 1, 4, 1, 1, 14) ]
sqrt(58) = [ 7; (1, 1, 1, 1, 1, 1, 14) ]
sqrt(59) = [ 7; (1, 2, 7, 2, 1, 14) ]
sqrt(60) = [ 7; (1, 2, 1, 14) ]
sqrt(61) = [ 7; (1, 4, 3, 1, 2, 2, 1, 3, 4, 1, 14) ]
sqrt(62) = [ 7; (1, 6, 1, 14) ]
sqrt(63) = [ 7; (1, 14) ]
sqrt(65) = [ 8; (16) ]
sqrt(66) = [ 8; (8, 16) ]
sqrt(67) = [ 8; (5, 2, 1, 1, 7, 1, 1, 2, 5, 16) ]
sqrt(68) = [ 8; (4, 16) ]
sqrt(69) = [ 8; (3, 3, 1, 4, 1, 3, 3, 16) ]
sqrt(70) = [ 8; (2, 1, 2, 1, 2, 16) ]
sqrt(71) = [ 8; (2, 2, 1, 7, 1, 2, 2, 16) ]
sqrt(72) = [ 8; (2, 16) ]
sqrt(73) = [ 8; (1, 1, 5, 5, 1, 1, 16) ]
sqrt(74) = [ 8; (1, 1, 1, 1, 16) ]
sqrt(75) = [ 8; (1, 1, 1, 16) ]
sqrt(76) = [ 8; (1, 2, 1, 1, 5, 4, 5, 1, 1, 2, 1, 16) ]
sqrt(77) = [ 8; (1, 3, 2, 3, 1, 16) ]
sqrt(78) = [ 8; (1, 4, 1, 16) ]
sqrt(79) = [ 8; (1, 7, 1, 16) ]
sqrt(80) = [ 8; (1, 16) ]
sqrt(82) = [ 9; (18) ]
sqrt(83) = [ 9; (9, 18) ]
sqrt(84) = [ 9; (6, 18) ]
sqrt(85) = [ 9; (4, 1, 1, 4, 18) ]
sqrt(86) = [ 9; (3, 1, 1, 1, 8, 1, 1, 1, 3, 18) ]
sqrt(87) = [ 9; (3, 18) ]
sqrt(88) = [ 9; (2, 1, 1, 1, 2, 18) ]
sqrt(89) = [ 9; (2, 3, 3, 2, 18) ]
sqrt(90) = [ 9; (2, 18) ]
sqrt(91) = [ 9; (1, 1, 5, 1, 5, 1, 1, 18) ]
sqrt(92) = [ 9; (1, 1, 2, 4, 2, 1, 1, 18) ]
sqrt(93) = [ 9; (1, 1, 1, 4, 6, 4, 1, 1, 1, 18) ]
sqrt(94) = [ 9; (1, 2, 3, 1, 1, 5, 1, 8, 1, 5, 1, 1, 3, 2, 1, 18) ]
sqrt(95) = [ 9; (1, 2, 1, 18) ]
sqrt(96) = [ 9; (1, 3, 1, 18) ]
sqrt(97) = [ 9; (1, 5, 1, 1, 1, 1, 1, 1, 5, 1, 18) ]
sqrt(98) = [ 9; (1, 8, 1, 18) ]
sqrt(99) = [ 9; (1, 18) ]
sqrt(101) = [ 10; (20) ]
sqrt(102) = [ 10; (10, 20) ]
sqrt(103) = [ 10; (6, 1, 2, 1, 1, 9, 1, 1, 2, 1, 6, 20) ]
sqrt(104) = [ 10; (5, 20) ]
sqrt(105) = [ 10; (4, 20) ]
sqrt(106) = [ 10; (3, 2, 1, 1, 1, 1, 2, 3, 20) ]
sqrt(107) = [ 10; (2, 1, 9, 1, 2, 20) ]
sqrt(108) = [ 10; (2, 1, 1, 4, 1, 1, 2, 20) ]
sqrt(109) = [ 10; (2, 3, 1, 2, 4, 1, 6, 6, 1, 4, 2, 1, 3, 2, 20) ]
sqrt(110) = [ 10; (2, 20) ]
sqrt(111) = [ 10; (1, 1, 6, 1, 1, 20) ]
sqrt(112) = [ 10; (1, 1, 2, 1, 1, 20) ]
sqrt(113) = [ 10; (1, 1, 1, 2, 2, 1, 1, 1, 20) ]
sqrt(114) = [ 10; (1, 2, 10, 2, 1, 20) ]
sqrt(115) = [ 10; (1, 2, 1, 1, 1, 1, 1, 2, 1, 20) ]
sqrt(116) = [ 10; (1, 3, 2, 1, 4, 1, 2, 3, 1, 20) ]
sqrt(117) = [ 10; (1, 4, 2, 4, 1, 20) ]
sqrt(118) = [ 10; (1, 6, 3, 2, 10, 2, 3, 6, 1, 20) ]
sqrt(119) = [ 10; (1, 9, 1, 20) ]
sqrt(120) = [ 10; (1, 20) ]
sqrt(122) = [ 11; (22) ]
sqrt(123) = [ 11; (11, 22) ]
sqrt(124) = [ 11; (7, 2, 1, 1, 1, 3, 1, 4, 1, 3, 1, 1, 1, 2, 7, 22) ]
sqrt(125) = [ 11; (5, 1, 1, 5, 22) ]
sqrt(126) = [ 11; (4, 2, 4, 22) ]
sqrt(127) = [ 11; (3, 1, 2, 2, 7, 11, 7, 2, 2, 1, 3, 22) ]
sqrt(128) = [ 11; (3, 5, 3, 22) ]
sqrt(129) = [ 11; (2, 1, 3, 1, 6, 1, 3, 1, 2, 22) ]
sqrt(130) = [ 11; (2, 2, 22) ]
sqrt(131) = [ 11; (2, 4, 11, 4, 2, 22) ]
sqrt(132) = [ 11; (2, 22) ]
sqrt(133) = [ 11; (1, 1, 7, 5, 1, 1, 1, 2, 1, 1, 1, 5, 7, 1, 1, 22) ]
sqrt(134) = [ 11; (1, 1, 2, 1, 3, 1, 10, 1, 3, 1, 2, 1, 1, 22) ]
sqrt(135) = [ 11; (1, 1, 1, 1, 1, 1, 1, 22) ]
sqrt(136) = [ 11; (1, 1, 1, 22) ]
sqrt(137) = [ 11; (1, 2, 2, 1, 1, 2, 2, 1, 22) ]
sqrt(138) = [ 11; (1, 2, 1, 22) ]
sqrt(139) = [ 11; (1, 3, 1, 3, 7, 1, 1, 2, 11, 2, 1, 1, 7, 3, 1, 3, 1, 22) ]
sqrt(140) = [ 11; (1, 4, 1, 22) ]
sqrt(141) = [ 11; (1, 6, 1, 22) ]
sqrt(142) = [ 11; (1, 10, 1, 22) ]
sqrt(143) = [ 11; (1, 22) ]
sqrt(145) = [ 12; (24) ]
sqrt(146) = [ 12; (12, 24) ]
sqrt(147) = [ 12; (8, 24) ]
sqrt(148) = [ 12; (6, 24) ]
sqrt(149) = [ 12; (4, 1, 5, 3, 3, 5, 1, 4, 24) ]
sqrt(150) = [ 12; (4, 24) ]
sqrt(151) = [ 12; (3, 2, 7, 1, 3, 4, 1, 1, 1, 11, 1, 1, 1, 4, 3, 1, 7, 2, 3, 24) ]
sqrt(152) = [ 12; (3, 24) ]
sqrt(153) = [ 12; (2, 1, 2, 2, 2, 1, 2, 24) ]
sqrt(154) = [ 12; (2, 2, 3, 1, 2, 1, 3, 2, 2, 24) ]
sqrt(155) = [ 12; (2, 4, 2, 24) ]
sqrt(156) = [ 12; (2, 24) ]
sqrt(157) = [ 12; (1, 1, 7, 1, 5, 2, 1, 1, 1, 1, 2, 5, 1, 7, 1, 1, 24) ]
sqrt(158) = [ 12; (1, 1, 3, 12, 3, 1, 1, 24) ]
sqrt(159) = [ 12; (1, 1, 1, 1, 3, 1, 1, 1, 1, 24) ]
sqrt(160) = [ 12; (1, 1, 1, 5, 1, 1, 1, 24) ]
sqrt(161) = [ 12; (1, 2, 4, 1, 2, 1, 4, 2, 1, 24) ]
sqrt(162) = [ 12; (1, 2, 1, 2, 12, 2, 1, 2, 1, 24) ]
sqrt(163) = [ 12; (1, 3, 3, 2, 1, 1, 7, 1, 11, 1, 7, 1, 1, 2, 3, 3, 1, 24) ]
sqrt(164) = [ 12; (1, 4, 6, 4, 1, 24) ]
sqrt(165) = [ 12; (1, 5, 2, 5, 1, 24) ]
sqrt(166) = [ 12; (1, 7, 1, 1, 1, 2, 4, 1, 3, 2, 12, 2, 3, 1, 4, 2, 1, 1, 1, 7, 1, 24) ]
sqrt(167) = [ 12; (1, 11, 1, 24) ]
sqrt(168) = [ 12; (1, 24) ]
sqrt(170) = [ 13; (26) ]
sqrt(171) = [ 13; (13, 26) ]
sqrt(172) = [ 13; (8, 1, 2, 2, 1, 1, 3, 6, 3, 1, 1, 2, 2, 1, 8, 26) ]
sqrt(173) = [ 13; (6, 1, 1, 6, 26) ]
sqrt(174) = [ 13; (5, 4, 5, 26) ]
sqrt(175) = [ 13; (4, 2, 1, 2, 4, 26) ]
sqrt(176) = [ 13; (3, 1, 3, 26) ]
sqrt(177) = [ 13; (3, 3, 2, 8, 2, 3, 3, 26) ]
sqrt(178) = [ 13; (2, 1, 12, 1, 2, 26) ]
sqrt(179) = [ 13; (2, 1, 1, 1, 3, 5, 13, 5, 3, 1, 1, 1, 2, 26) ]
sqrt(180) = [ 13; (2, 2, 2, 26) ]
sqrt(181) = [ 13; (2, 4, 1, 8, 6, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 6, 8, 1, 4, 2, 26) ]
sqrt(182) = [ 13; (2, 26) ]
sqrt(183) = [ 13; (1, 1, 8, 1, 1, 26) ]
sqrt(184) = [ 13; (1, 1, 3, 2, 1, 2, 1, 2, 3, 1, 1, 26) ]
sqrt(185) = [ 13; (1, 1, 1, 1, 26) ]
sqrt(186) = [ 13; (1, 1, 1, 3, 4, 3, 1, 1, 1, 26) ]
sqrt(187) = [ 13; (1, 2, 13, 2, 1, 26) ]
sqrt(188) = [ 13; (1, 2, 2, 6, 2, 2, 1, 26) ]
sqrt(189) = [ 13; (1, 2, 1, 26) ]
sqrt(190) = [ 13; (1, 3, 1, 1, 1, 2, 2, 2, 1, 1, 1, 3, 1, 26) ]
sqrt(191) = [ 13; (1, 4, 1, 1, 3, 2, 2, 13, 2, 2, 3, 1, 1, 4, 1, 26) ]
sqrt(192) = [ 13; (1, 5, 1, 26) ]
sqrt(193) = [ 13; (1, 8, 3, 2, 1, 3, 3, 1, 2, 3, 8, 1, 26) ]
sqrt(194) = [ 13; (1, 12, 1, 26) ]
sqrt(195) = [ 13; (1, 26) ]
sqrt(197) = [ 14; (28) ]
sqrt(198) = [ 14; (14, 28) ]
sqrt(199) = [ 14; (9, 2, 1, 2, 2, 5, 4, 1, 1, 13, 1, 1, 4, 5, 2, 2, 1, 2, 9, 28) ]
sqrt(200) = [ 14; (7, 28) ]
sqrt(201) = [ 14; (5, 1, 1, 1, 2, 1, 8, 1, 2, 1, 1, 1, 5, 28) ]
sqrt(202) = [ 14; (4, 1, 2, 2, 1, 4, 28) ]
sqrt(203) = [ 14; (4, 28) ]
sqrt(204) = [ 14; (3, 1, 1, 6, 1, 1, 3, 28) ]
sqrt(205) = [ 14; (3, 6, 1, 4, 1, 6, 3, 28) ]
sqrt(206) = [ 14; (2, 1, 5, 14, 5, 1, 2, 28) ]
sqrt(207) = [ 14; (2, 1, 1, 2, 1, 1, 2, 28) ]
sqrt(208) = [ 14; (2, 2, 1, 2, 2, 28) ]
sqrt(209) = [ 14; (2, 5, 3, 2, 3, 5, 2, 28) ]
sqrt(210) = [ 14; (2, 28) ]
sqrt(211) = [ 14; (1, 1, 9, 5, 1, 2, 2, 1, 1, 4, 3, 1, 13, 1, 3, 4, 1, 1, 2, 2, 1, 5, 9, 1, 1, 28) ]
sqrt(212) = [ 14; (1, 1, 3, 1, 1, 1, 6, 1, 1, 1, 3, 1, 1, 28) ]
sqrt(213) = [ 14; (1, 1, 2, 6, 1, 8, 1, 6, 2, 1, 1, 28) ]
sqrt(214) = [ 14; (1, 1, 1, 2, 3, 1, 4, 9, 1, 1, 5, 3, 14, 3, 5, 1, 1, 9, 4, 1, 3, 2, 1, 1, 1, 28) ]
sqrt(215) = [ 14; (1, 1, 1, 28) ]
sqrt(216) = [ 14; (1, 2, 3, 2, 1, 28) ]
sqrt(217) = [ 14; (1, 2, 1, 2, 1, 1, 9, 4, 9, 1, 1, 2, 1, 2, 1, 28) ]
sqrt(218) = [ 14; (1, 3, 3, 1, 28) ]
sqrt(219) = [ 14; (1, 3, 1, 28) ]
sqrt(220) = [ 14; (1, 4, 1, 28) ]
sqrt(221) = [ 14; (1, 6, 2, 6, 1, 28) ]
sqrt(222) = [ 14; (1, 8, 1, 28) ]
sqrt(223) = [ 14; (1, 13, 1, 28) ]
sqrt(224) = [ 14; (1, 28) ]
sqrt(226) = [ 15; (30) ]
sqrt(227) = [ 15; (15, 30) ]
sqrt(228) = [ 15; (10, 30) ]
sqrt(229) = [ 15; (7, 1, 1, 7, 30) ]
sqrt(230) = [ 15; (6, 30) ]
sqrt(231) = [ 15; (5, 30) ]
sqrt(232) = [ 15; (4, 3, 7, 3, 4, 30) ]
sqrt(233) = [ 15; (3, 1, 3, 1, 1, 1, 1, 3, 1, 3, 30) ]
sqrt(234) = [ 15; (3, 2, 1, 2, 1, 2, 3, 30) ]
sqrt(235) = [ 15; (3, 30) ]
sqrt(236) = [ 15; (2, 1, 3, 5, 1, 6, 1, 5, 3, 1, 2, 30) ]
sqrt(237) = [ 15; (2, 1, 1, 7, 10, 7, 1, 1, 2, 30) ]
sqrt(238) = [ 15; (2, 2, 1, 14, 1, 2, 2, 30) ]
sqrt(239) = [ 15; (2, 5, 1, 2, 4, 15, 4, 2, 1, 5, 2, 30) ]
sqrt(240) = [ 15; (2, 30) ]
sqrt(241) = [ 15; (1, 1, 9, 1, 5, 3, 3, 1, 1, 3, 3, 5, 1, 9, 1, 1, 30) ]
sqrt(242) = [ 15; (1, 1, 3, 1, 14, 1, 3, 1, 1, 30) ]
sqrt(243) = [ 15; (1, 1, 2, 3, 15, 3, 2, 1, 1, 30) ]
sqrt(244) = [ 15; (1, 1, 1, 1, 1, 2, 1, 5, 1, 1, 9, 1, 6, 1, 9, 1, 1, 5, 1, 2, 1, 1, 1, 1, 1, 30) ]
sqrt(245) = [ 15; (1, 1, 1, 7, 6, 7, 1, 1, 1, 30) ]
sqrt(246) = [ 15; (1, 2, 5, 1, 14, 1, 5, 2, 1, 30) ]
sqrt(247) = [ 15; (1, 2, 1, 1, 9, 1, 9, 1, 1, 2, 1, 30) ]
sqrt(248) = [ 15; (1, 2, 1, 30) ]
sqrt(249) = [ 15; (1, 3, 1, 1, 5, 1, 3, 10, 3, 1, 5, 1, 1, 3, 1, 30) ]
sqrt(250) = [ 15; (1, 4, 3, 3, 4, 1, 30) ]
sqrt(251) = [ 15; (1, 5, 2, 1, 2, 2, 15, 2, 2, 1, 2, 5, 1, 30) ]
sqrt(252) = [ 15; (1, 6, 1, 30) ]
sqrt(253) = [ 15; (1, 9, 1, 1, 1, 2, 1, 7, 4, 2, 2, 2, 4, 7, 1, 2, 1, 1, 1, 9, 1, 30) ]
sqrt(254) = [ 15; (1, 14, 1, 30) ]
sqrt(255) = [ 15; (1, 30) ]
sqrt(257) = [ 16; (32) ]
sqrt(258) = [ 16; (16, 32) ]
sqrt(259) = [ 16; (10, 1, 2, 3, 4, 3, 2, 1, 10, 32) ]
sqrt(260) = [ 16; (8, 32) ]
sqrt(261) = [ 16; (6, 2, 3, 7, 1, 3, 1, 2, 1, 3, 1, 7, 3, 2, 6, 32) ]
sqrt(262) = [ 16; (5, 2, 1, 2, 1, 10, 16, 10, 1, 2, 1, 2, 5, 32) ]
sqrt(263) = [ 16; (4, 1, 1, 1, 1, 15, 1, 1, 1, 1, 4, 32) ]
sqrt(264) = [ 16; (4, 32) ]
sqrt(265) = [ 16; (3, 1, 1, 2, 2, 1, 1, 3, 32) ]
sqrt(266) = [ 16; (3, 4, 3, 32) ]
sqrt(267) = [ 16; (2, 1, 15, 1, 2, 32) ]
sqrt(268) = [ 16; (2, 1, 2, 3, 3, 1, 3, 1, 10, 8, 10, 1, 3, 1, 3, 3, 2, 1, 2, 32) ]
sqrt(269) = [ 16; (2, 2, 32) ]
sqrt(270) = [ 16; (2, 3, 6, 3, 2, 32) ]
sqrt(271) = [ 16; (2, 6, 10, 1, 4, 1, 1, 2, 1, 2, 1, 15, 1, 2, 1, 2, 1, 1, 4, 1, 10, 6, 2, 32) ]
sqrt(272) = [ 16; (2, 32) ]
sqrt(273) = [ 16; (1, 1, 10, 1, 1, 32) ]
sqrt(274) = [ 16; (1, 1, 4, 4, 1, 1, 32) ]
sqrt(275) = [ 16; (1, 1, 2, 1, 1, 32) ]
sqrt(276) = [ 16; (1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 32) ]
sqrt(277) = [ 16; (1, 1, 1, 4, 10, 1, 7, 2, 2, 3, 3, 2, 2, 7, 1, 10, 4, 1, 1, 1, 32) ]
sqrt(278) = [ 16; (1, 2, 16, 2, 1, 32) ]
sqrt(279) = [ 16; (1, 2, 2, 1, 2, 2, 1, 32) ]
sqrt(280) = [ 16; (1, 2, 1, 2, 1, 32) ]
sqrt(281) = [ 16; (1, 3, 4, 1, 1, 6, 6, 1, 1, 4, 3, 1, 32) ]
sqrt(282) = [ 16; (1, 3, 1, 4, 1, 3, 1, 32) ]
sqrt(283) = [ 16; (1, 4, 1, 1, 1, 3, 10, 1, 15, 1, 10, 3, 1, 1, 1, 4, 1, 32) ]
sqrt(284) = [ 16; (1, 5, 1, 3, 2, 1, 4, 8, 4, 1, 2, 3, 1, 5, 1, 32) ]
sqrt(285) = [ 16; (1, 7, 2, 7, 1, 32) ]
sqrt(286) = [ 16; (1, 10, 3, 3, 2, 3, 3, 10, 1, 32) ]
sqrt(287) = [ 16; (1, 15, 1, 32) ]
sqrt(288) = [ 16; (1, 32) ]
sqrt(290) = [ 17; (34) ]
sqrt(291) = [ 17; (17, 34) ]
sqrt(292) = [ 17; (11, 2, 1, 3, 8, 3, 1, 2, 11, 34) ]
sqrt(293) = [ 17; (8, 1, 1, 8, 34) ]
sqrt(294) = [ 17; (6, 1, 4, 1, 6, 34) ]
sqrt(295) = [ 17; (5, 1, 2, 3, 2, 6, 2, 3, 2, 1, 5, 34) ]
sqrt(296) = [ 17; (4, 1, 7, 1, 4, 34) ]
sqrt(297) = [ 17; (4, 3, 1, 1, 2, 1, 1, 3, 4, 34) ]
sqrt(298) = [ 17; (3, 1, 4, 5, 1, 1, 5, 4, 1, 3, 34) ]
sqrt(299) = [ 17; (3, 2, 3, 34) ]
sqrt(300) = [ 17; (3, 8, 3, 34) ]
sqrt(301) = [ 17; (2, 1, 6, 3, 1, 2, 2, 1, 1, 8, 11, 2, 4, 2, 11, 8, 1, 1, 2, 2, 1, 3, 6, 1, 2, 34) ]
sqrt(302) = [ 17; (2, 1, 1, 1, 4, 2, 1, 16, 1, 2, 4, 1, 1, 1, 2, 34) ]
sqrt(303) = [ 17; (2, 2, 5, 2, 2, 34) ]
sqrt(304) = [ 17; (2, 3, 2, 1, 1, 1, 1, 1, 2, 3, 2, 34) ]
sqrt(305) = [ 17; (2, 6, 2, 34) ]
sqrt(306) = [ 17; (2, 34) ]
sqrt(307) = [ 17; (1, 1, 11, 5, 1, 3, 17, 3, 1, 5, 11, 1, 1, 34) ]
sqrt(308) = [ 17; (1, 1, 4, 1, 1, 34) ]
sqrt(309) = [ 17; (1, 1, 2, 1, 2, 4, 1, 1, 1, 8, 6, 1, 10, 1, 6, 8, 1, 1, 1, 4, 2, 1, 2, 1, 1, 34) ]
sqrt(310) = [ 17; (1, 1, 1, 1, 5, 3, 1, 2, 1, 3, 5, 1, 1, 1, 1, 34) ]
sqrt(311) = [ 17; (1, 1, 1, 2, 1, 6, 3, 17, 3, 6, 1, 2, 1, 1, 1, 34) ]
sqrt(312) = [ 17; (1, 1, 1, 34) ]
sqrt(313) = [ 17; (1, 2, 4, 11, 1, 1, 3, 2, 2, 3, 1, 1, 11, 4, 2, 1, 34) ]
sqrt(314) = [ 17; (1, 2, 1, 1, 2, 1, 34) ]
sqrt(315) = [ 17; (1, 2, 1, 34) ]
sqrt(316) = [ 17; (1, 3, 2, 8, 2, 3, 1, 34) ]
sqrt(317) = [ 17; (1, 4, 8, 1, 2, 2, 1, 8, 4, 1, 34) ]
sqrt(318) = [ 17; (1, 4, 1, 34) ]
sqrt(319) = [ 17; (1, 6, 5, 1, 4, 3, 1, 3, 4, 1, 5, 6, 1, 34) ]
sqrt(320) = [ 17; (1, 7, 1, 34) ]
sqrt(321) = [ 17; (1, 10, 1, 34) ]
sqrt(322) = [ 17; (1, 16, 1, 34) ]
sqrt(323) = [ 17; (1, 34) ]
sqrt(325) = [ 18; (36) ]
sqrt(326) = [ 18; (18, 36) ]
sqrt(327) = [ 18; (12, 36) ]
sqrt(328) = [ 18; (9, 36) ]
sqrt(329) = [ 18; (7, 4, 2, 1, 1, 4, 1, 1, 2, 4, 7, 36) ]
sqrt(330) = [ 18; (6, 36) ]
sqrt(331) = [ 18; (5, 5, 1, 6, 2, 3, 1, 1, 2, 1, 2, 1, 11, 2, 1, 1, 17, 1, 1, 2, 11, 1, 2, 1, 2, 1, 1, 3, 2, 6, 1, 5, 5, 36) ]
sqrt(332) = [ 18; (4, 1, 1, 8, 1, 1, 4, 36) ]
sqrt(333) = [ 18; (4, 36) ]
sqrt(334) = [ 18; (3, 1, 1, 1, 2, 5, 1, 2, 2, 11, 1, 3, 7, 18, 7, 3, 1, 11, 2, 2, 1, 5, 2, 1, 1, 1, 3, 36) ]
sqrt(335) = [ 18; (3, 3, 3, 36) ]
sqrt(336) = [ 18; (3, 36) ]
sqrt(337) = [ 18; (2, 1, 3, 1, 11, 2, 4, 1, 3, 3, 1, 4, 2, 11, 1, 3, 1, 2, 36) ]
sqrt(338) = [ 18; (2, 1, 1, 2, 36) ]
sqrt(339) = [ 18; (2, 2, 2, 1, 17, 1, 2, 2, 2, 36) ]
sqrt(340) = [ 18; (2, 3, 1, 1, 1, 1, 8, 1, 1, 1, 1, 3, 2, 36) ]
sqrt(341) = [ 18; (2, 6, 1, 8, 2, 1, 2, 1, 2, 8, 1, 6, 2, 36) ]
sqrt(342) = [ 18; (2, 36) ]
sqrt(343) = [ 18; (1, 1, 11, 1, 5, 3, 1, 17, 1, 3, 5, 1, 11, 1, 1, 36) ]
sqrt(344) = [ 18; (1, 1, 4, 1, 3, 1, 4, 1, 1, 36) ]
sqrt(345) = [ 18; (1, 1, 2, 1, 6, 1, 2, 1, 1, 36) ]
sqrt(346) = [ 18; (1, 1, 1, 1, 36) ]
sqrt(347) = [ 18; (1, 1, 1, 2, 4, 1, 17, 1, 4, 2, 1, 1, 1, 36) ]
sqrt(348) = [ 18; (1, 1, 1, 8, 1, 1, 1, 36) ]
sqrt(349) = [ 18; (1, 2, 7, 7, 2, 1, 36) ]
sqrt(350) = [ 18; (1, 2, 2, 2, 1, 36) ]
sqrt(351) = [ 18; (1, 2, 1, 3, 2, 2, 2, 3, 1, 2, 1, 36) ]
sqrt(352) = [ 18; (1, 3, 5, 9, 5, 3, 1, 36) ]
sqrt(353) = [ 18; (1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 36) ]
sqrt(354) = [ 18; (1, 4, 2, 2, 18, 2, 2, 4, 1, 36) ]
sqrt(355) = [ 18; (1, 5, 3, 3, 1, 6, 1, 3, 3, 5, 1, 36) ]
sqrt(356) = [ 18; (1, 6, 1, 1, 2, 1, 8, 1, 2, 1, 1, 6, 1, 36) ]
sqrt(357) = [ 18; (1, 8, 2, 8, 1, 36) ]
sqrt(358) = [ 18; (1, 11, 1, 1, 1, 3, 1, 1, 4, 1, 5, 2, 18, 2, 5, 1, 4, 1, 1, 3, 1, 1, 1, 11, 1, 36) ]
sqrt(359) = [ 18; (1, 17, 1, 36) ]
sqrt(360) = [ 18; (1, 36) ]
sqrt(362) = [ 19; (38) ]
sqrt(363) = [ 19; (19, 38) ]
sqrt(364) = [ 19; (12, 1, 2, 3, 1, 8, 1, 3, 2, 1, 12, 38) ]
sqrt(365) = [ 19; (9, 1, 1, 9, 38) ]
sqrt(366) = [ 19; (7, 1, 1, 1, 2, 12, 2, 1, 1, 1, 7, 38) ]
sqrt(367) = [ 19; (6, 2, 1, 3, 1, 1, 2, 1, 12, 19, 12, 1, 2, 1, 1, 3, 1, 2, 6, 38) ]
sqrt(368) = [ 19; (5, 2, 5, 38) ]
sqrt(369) = [ 19; (4, 1, 3, 2, 7, 4, 7, 2, 3, 1, 4, 38) ]
sqrt(370) = [ 19; (4, 4, 38) ]
sqrt(371) = [ 19; (3, 1, 4, 1, 3, 38) ]
sqrt(372) = [ 19; (3, 2, 12, 2, 3, 38) ]
sqrt(373) = [ 19; (3, 5, 5, 3, 38) ]
sqrt(374) = [ 19; (2, 1, 18, 1, 2, 38) ]
sqrt(375) = [ 19; (2, 1, 2, 1, 5, 1, 2, 1, 2, 38) ]
sqrt(376) = [ 19; (2, 1, 1, 3, 1, 2, 2, 4, 2, 2, 1, 3, 1, 1, 2, 38) ]
sqrt(377) = [ 19; (2, 2, 2, 38) ]
sqrt(378) = [ 19; (2, 3, 1, 4, 1, 3, 2, 38) ]
sqrt(379) = [ 19; (2, 7, 3, 2, 2, 6, 12, 1, 4, 1, 1, 1, 3, 4, 19, 4, 3, 1, 1, 1, 4, 1, 12, 6, 2, 2, 3, 7, 2, 38) ]
sqrt(380) = [ 19; (2, 38) ]
sqrt(381) = [ 19; (1, 1, 12, 1, 1, 38) ]
sqrt(382) = [ 19; (1, 1, 5, 12, 1, 5, 1, 1, 2, 3, 1, 18, 1, 3, 2, 1, 1, 5, 1, 12, 5, 1, 1, 38) ]
sqrt(383) = [ 19; (1, 1, 3, 19, 3, 1, 1, 38) ]
sqrt(384) = [ 19; (1, 1, 2, 9, 2, 1, 1, 38) ]
sqrt(385) = [ 19; (1, 1, 1, 1, 1, 3, 1, 2, 1, 3, 1, 1, 1, 1, 1, 38) ]
